epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,48.4311,1.46544,1.67127,1.42474,0.78225,0.58177,0.69813,0.41979,1.51807,1.12495,1.26364,0.000103685,0.000103685,0.000103685
15,51.5699,1.44964,1.65756,1.41598,0.77362,0.59496,0.70734,0.42947,1.4753,1.09125,1.24872,0.000102507,0.000102507,0.000102507
16,54.7456,1.46461,1.60552,1.41705,0.74716,0.60721,0.72393,0.44206,1.44039,1.06663,1.23949,0.000101329,0.000101329,0.000101329
17,57.8718,1.43136,1.53848,1.37945,0.76162,0.61219,0.72235,0.44707,1.43399,1.05416,1.24067,0.00010015,0.00010015,0.00010015
18,61.0519,1.4389,1.61807,1.38639,0.73372,0.63178,0.73053,0.44655,1.43362,1.04488,1.24494,9.89723e-05,9.89723e-05,9.89723e-05
19,64.2506,1.40114,1.47883,1.36686,0.73862,0.62691,0.72664,0.44863,1.43421,1.04369,1.24955,9.77942e-05,9.77942e-05,9.77942e-05
20,67.454,1.42909,1.60041,1.39001,0.75518,0.62276,0.73751,0.44856,1.43216,1.03736,1.25017,9.66161e-05,9.66161e-05,9.66161e-05
21,70.713,1.42994,1.50776,1.41511,0.80855,0.60733,0.73784,0.45863,1.41324,1.02275,1.24228,9.5438e-05,9.5438e-05,9.5438e-05
22,73.8912,1.4138,1.48367,1.39451,0.83554,0.61247,0.74699,0.46977,1.39965,1.0097,1.22854,9.42599e-05,9.42599e-05,9.42599e-05
23,77.0716,1.43712,1.56083,1.42446,0.82861,0.61579,0.74925,0.46796,1.42647,1.0028,1.23664,9.30818e-05,9.30818e-05,9.30818e-05
24,80.2625,1.37886,1.50482,1.35339,0.81797,0.62548,0.75382,0.46439,1.4459,1.00324,1.24295,9.19037e-05,9.19037e-05,9.19037e-05
25,83.4206,1.42918,1.48673,1.39902,0.78977,0.62671,0.76012,0.46388,1.44247,0.99534,1.23822,9.07256e-05,9.07256e-05,9.07256e-05
26,86.6162,1.3756,1.42329,1.35946,0.83339,0.6088,0.76227,0.47235,1.41811,0.99153,1.22471,8.95475e-05,8.95475e-05,8.95475e-05
27,89.783,1.40449,1.43888,1.364,0.79888,0.63771,0.7634,0.47648,1.38482,0.98569,1.21022,8.83694e-05,8.83694e-05,8.83694e-05
28,92.958,1.42787,1.41351,1.34726,0.81001,0.63288,0.76741,0.47946,1.36411,0.97644,1.20302,8.71913e-05,8.71913e-05,8.71913e-05
29,96.1371,1.3996,1.47602,1.42049,0.80653,0.63279,0.77202,0.48801,1.3432,0.96992,1.19488,8.60132e-05,8.60132e-05,8.60132e-05
30,99.3776,1.38151,1.41985,1.37913,0.82924,0.6243,0.77165,0.48662,1.36726,0.97237,1.2068,8.48351e-05,8.48351e-05,8.48351e-05
31,102.608,1.37929,1.35736,1.34951,0.83298,0.63241,0.77654,0.48045,1.40766,0.97873,1.22496,8.3657e-05,8.3657e-05,8.3657e-05
32,105.767,1.33954,1.35045,1.35237,0.8385,0.63214,0.78022,0.47762,1.44011,0.97993,1.23719,8.24789e-05,8.24789e-05,8.24789e-05
33,108.958,1.41003,1.4068,1.35366,0.84628,0.63152,0.7813,0.47952,1.44307,0.96591,1.2335,8.13008e-05,8.13008e-05,8.13008e-05
34,112.256,1.37475,1.38601,1.34442,0.81402,0.65947,0.78369,0.48355,1.42298,0.95326,1.22264,8.01227e-05,8.01227e-05,8.01227e-05
35,115.473,1.34675,1.3257,1.33472,0.66561,0.7403,0.78713,0.4913,1.39012,0.9364,1.20669,7.89446e-05,7.89446e-05,7.89446e-05
36,118.657,1.40294,1.37088,1.34411,0.79689,0.66477,0.78712,0.5003,1.35521,0.92701,1.19358,7.77665e-05,7.77665e-05,7.77665e-05
37,121.858,1.37209,1.26758,1.33066,0.75662,0.70486,0.79431,0.50777,1.34717,0.91765,1.19109,7.65884e-05,7.65884e-05,7.65884e-05
38,125.062,1.30185,1.29003,1.29804,0.7696,0.69913,0.7947,0.50387,1.37353,0.91662,1.20426,7.54103e-05,7.54103e-05,7.54103e-05
39,128.264,1.36867,1.33037,1.35185,0.74905,0.73548,0.79916,0.50167,1.39843,0.91688,1.21635,7.42322e-05,7.42322e-05,7.42322e-05
40,131.472,1.36721,1.36201,1.33511,0.767,0.73001,0.79998,0.49552,1.42627,0.91819,1.22849,7.30541e-05,7.30541e-05,7.30541e-05
41,134.49,1.37958,1.34395,1.35843,0.72508,0.73996,0.79966,0.49702,1.41135,0.91806,1.22428,7.1876e-05,7.1876e-05,7.1876e-05
42,137.509,1.34978,1.28352,1.29613,0.73881,0.7438,0.80309,0.49973,1.39955,0.91024,1.21941,7.06979e-05,7.06979e-05,7.06979e-05
43,140.506,1.37227,1.32471,1.33518,0.78814,0.72538,0.80399,0.50179,1.37542,0.90671,1.21258,6.95198e-05,6.95198e-05,6.95198e-05
44,143.8,1.33402,1.29519,1.32202,0.79432,0.72071,0.80449,0.50607,1.36254,0.90243,1.20669,6.83417e-05,6.83417e-05,6.83417e-05
45,147.006,1.32806,1.29917,1.32889,0.70208,0.77267,0.7957,0.50826,1.35105,0.9042,1.20331,6.71636e-05,6.71636e-05,6.71636e-05
46,150.22,1.33509,1.27203,1.32454,0.69113,0.76128,0.79266,0.50484,1.35419,0.9043,1.20397,6.59855e-05,6.59855e-05,6.59855e-05
47,156.177,1.317,1.25076,1.31698,0.74205,0.75035,0.78955,0.50736,1.35729,0.90398,1.20332,6.48074e-05,6.48074e-05,6.48074e-05
48,159.341,1.32282,1.31571,1.37247,0.76156,0.75263,0.79837,0.50926,1.3627,0.90012,1.20123,6.36293e-05,6.36293e-05,6.36293e-05
49,162.518,1.36268,1.28359,1.31787,0.76129,0.75365,0.79836,0.50828,1.3734,0.89898,1.19975,6.24512e-05,6.24512e-05,6.24512e-05
50,165.671,1.30496,1.26789,1.30681,0.78843,0.74023,0.80917,0.50934,1.37105,0.88523,1.19349,6.12731e-05,6.12731e-05,6.12731e-05
51,168.858,1.29404,1.23513,1.30454,0.77566,0.74419,0.81054,0.50786,1.37551,0.87762,1.1928,6.0095e-05,6.0095e-05,6.0095e-05
52,172.072,1.3099,1.24857,1.29645,0.78311,0.76093,0.80634,0.50448,1.38073,0.88522,1.19672,5.89169e-05,5.89169e-05,5.89169e-05
53,175.244,1.30696,1.23543,1.31586,0.79434,0.75673,0.8032,0.5053,1.38932,0.88667,1.20031,5.77388e-05,5.77388e-05,5.77388e-05
54,178.449,1.31404,1.28846,1.32638,0.7907,0.76333,0.80642,0.50317,1.40092,0.88675,1.20801,5.65607e-05,5.65607e-05,5.65607e-05
55,181.77,1.28921,1.22354,1.30551,0.77953,0.76513,0.81007,0.50368,1.3915,0.87981,1.20479,5.53826e-05,5.53826e-05,5.53826e-05
56,184.992,1.29699,1.23825,1.29822,0.77955,0.75915,0.81128,0.50627,1.38406,0.87501,1.20124,5.42045e-05,5.42045e-05,5.42045e-05
57,188.225,1.29716,1.27584,1.32076,0.78561,0.75966,0.81087,0.50912,1.37944,0.86849,1.2012,5.30264e-05,5.30264e-05,5.30264e-05
58,191.433,1.25015,1.1673,1.28319,0.79505,0.75379,0.81117,0.50946,1.37026,0.85979,1.1962,5.18483e-05,5.18483e-05,5.18483e-05
59,194.662,1.29063,1.17983,1.30669,0.78365,0.76425,0.81271,0.51361,1.35745,0.85535,1.19003,5.06702e-05,5.06702e-05,5.06702e-05
60,197.838,1.30531,1.23515,1.30015,0.77109,0.77762,0.81316,0.51448,1.36344,0.85156,1.19212,4.94921e-05,4.94921e-05,4.94921e-05
61,201.146,1.27844,1.21567,1.29739,0.77287,0.77281,0.81403,0.51829,1.36732,0.84974,1.19382,4.8314e-05,4.8314e-05,4.8314e-05
62,204.487,1.2665,1.15883,1.3071,0.80199,0.7515,0.82131,0.52145,1.3601,0.84585,1.1904,4.71359e-05,4.71359e-05,4.71359e-05
63,207.829,1.30214,1.22033,1.2872,0.82115,0.74857,0.82427,0.52069,1.36828,0.84092,1.19464,4.59578e-05,4.59578e-05,4.59578e-05
64,211.066,1.2785,1.13801,1.29718,0.83054,0.74522,0.82495,0.52543,1.36337,0.83765,1.19318,4.47797e-05,4.47797e-05,4.47797e-05
65,214.266,1.29047,1.14699,1.28148,0.83883,0.74568,0.82527,0.52647,1.35876,0.83648,1.18979,4.36016e-05,4.36016e-05,4.36016e-05
66,217.477,1.28458,1.2013,1.28981,0.84122,0.74461,0.82643,0.52887,1.3514,0.83826,1.18615,4.24235e-05,4.24235e-05,4.24235e-05
67,220.701,1.32949,1.20381,1.29831,0.8278,0.77081,0.82888,0.53343,1.33292,0.83856,1.17783,4.12454e-05,4.12454e-05,4.12454e-05
68,224.037,1.28421,1.21226,1.30016,0.82235,0.77149,0.82828,0.53523,1.32496,0.84012,1.17359,4.00673e-05,4.00673e-05,4.00673e-05
69,227.22,1.29441,1.16795,1.29599,0.83243,0.767,0.83142,0.53492,1.33046,0.83482,1.17388,3.88892e-05,3.88892e-05,3.88892e-05
70,230.441,1.26792,1.18563,1.30474,0.84383,0.76289,0.82934,0.53251,1.33073,0.83411,1.17568,3.77111e-05,3.77111e-05,3.77111e-05
71,233.683,1.27222,1.15053,1.26635,0.83962,0.7653,0.83044,0.53013,1.33538,0.82813,1.17873,3.6533e-05,3.6533e-05,3.6533e-05
72,236.895,1.31098,1.26317,1.31328,0.83165,0.766,0.83027,0.53299,1.32912,0.82535,1.17722,3.53549e-05,3.53549e-05,3.53549e-05
73,240.119,1.27739,1.16759,1.28902,0.82941,0.76399,0.82992,0.53688,1.32197,0.82315,1.1755,3.41768e-05,3.41768e-05,3.41768e-05
74,243.303,1.33044,1.16178,1.32304,0.80558,0.78404,0.83046,0.53915,1.31651,0.82683,1.17562,3.29987e-05,3.29987e-05,3.29987e-05
75,246.556,1.2888,1.16743,1.3127,0.81244,0.77939,0.83083,0.5353,1.32015,0.82644,1.17858,3.18206e-05,3.18206e-05,3.18206e-05
76,249.905,1.32341,1.21417,1.29432,0.80694,0.7759,0.82793,0.53292,1.33185,0.82938,1.18427,3.06425e-05,3.06425e-05,3.06425e-05
77,253.233,1.23488,1.12158,1.25867,0.80485,0.77589,0.82972,0.53055,1.33254,0.83147,1.18398,2.94644e-05,2.94644e-05,2.94644e-05
78,256.606,1.28063,1.14341,1.28689,0.80928,0.77543,0.82858,0.52906,1.33405,0.83278,1.18194,2.82863e-05,2.82863e-05,2.82863e-05
79,259.923,1.29907,1.13401,1.26985,0.81318,0.76304,0.83095,0.53132,1.33799,0.83279,1.18365,2.71082e-05,2.71082e-05,2.71082e-05
80,263.216,1.2716,1.19545,1.28709,0.81027,0.7797,0.83032,0.53337,1.33571,0.83109,1.17985,2.59301e-05,2.59301e-05,2.59301e-05
81,266.399,1.26294,1.10044,1.26618,0.81856,0.77801,0.83249,0.53394,1.34013,0.83474,1.1804,2.4752e-05,2.4752e-05,2.4752e-05
82,269.418,1.34398,1.18813,1.32897,0.83241,0.75478,0.82905,0.53022,1.33093,0.83056,1.17655,2.35739e-05,2.35739e-05,2.35739e-05
83,272.401,1.29307,1.1515,1.29618,0.83988,0.76008,0.83691,0.53584,1.32579,0.82892,1.17366,2.23958e-05,2.23958e-05,2.23958e-05
84,275.726,1.24495,1.11878,1.27235,0.83947,0.75404,0.83715,0.53912,1.32108,0.82448,1.17152,2.12177e-05,2.12177e-05,2.12177e-05
85,279.003,1.24061,1.13863,1.27553,0.83594,0.7604,0.83864,0.53984,1.32161,0.82294,1.17025,2.00396e-05,2.00396e-05,2.00396e-05
86,282.266,1.24887,1.10642,1.2681,0.83304,0.75185,0.83605,0.53847,1.32322,0.8166,1.17021,1.88615e-05,1.88615e-05,1.88615e-05
87,285.482,1.28853,1.14438,1.30232,0.83268,0.75446,0.83513,0.53977,1.32035,0.81226,1.16937,1.76834e-05,1.76834e-05,1.76834e-05
88,288.708,1.24195,1.09076,1.26864,0.84031,0.75353,0.83231,0.53592,1.3233,0.81006,1.16981,1.65053e-05,1.65053e-05,1.65053e-05
89,291.94,1.3074,1.22782,1.34207,0.84414,0.75608,0.83495,0.53659,1.32787,0.80786,1.17215,1.53272e-05,1.53272e-05,1.53272e-05
90,295.17,1.33037,1.18442,1.30678,0.84572,0.7572,0.83555,0.537,1.32895,0.80847,1.1729,1.41491e-05,1.41491e-05,1.41491e-05
91,324.799,1.35058,1.26087,1.31976,0.80989,0.78447,0.83236,0.53688,1.32593,0.82693,1.1678,1.2971e-05,1.2971e-05,1.2971e-05
92,327.88,1.31693,1.21802,1.31178,0.7935,0.78183,0.8275,0.54092,1.31932,0.85122,1.16282,1.17929e-05,1.17929e-05,1.17929e-05
93,330.953,1.32889,1.28342,1.30796,0.79303,0.77722,0.82457,0.53131,1.32903,0.8717,1.17045,1.06148e-05,1.06148e-05,1.06148e-05
94,334.049,1.3482,1.25157,1.31275,0.78353,0.77972,0.81973,0.52769,1.34652,0.88584,1.18025,9.4367e-06,9.4367e-06,9.4367e-06
95,337.141,1.32915,1.2113,1.29379,0.78194,0.78255,0.8219,0.52525,1.34595,0.89053,1.18225,8.2586e-06,8.2586e-06,8.2586e-06
96,340.236,1.34377,1.27854,1.29356,0.76279,0.78327,0.81293,0.51911,1.35479,0.89836,1.19058,7.0805e-06,7.0805e-06,7.0805e-06
97,343.188,1.28464,1.17793,1.27545,0.77738,0.76301,0.8149,0.51934,1.35233,0.89574,1.18955,5.9024e-06,5.9024e-06,5.9024e-06
98,346.209,1.28362,1.19756,1.25619,0.77662,0.77883,0.81928,0.52301,1.35546,0.8928,1.19167,4.7243e-06,4.7243e-06,4.7243e-06
99,349.262,1.31849,1.18321,1.31809,0.77492,0.77556,0.8153,0.52036,1.35217,0.88586,1.18956,3.5462e-06,3.5462e-06,3.5462e-06
100,352.216,1.35353,1.27392,1.35708,0.77168,0.77925,0.82158,0.52681,1.34929,0.88663,1.1879,2.3681e-06,2.3681e-06,2.3681e-06
