epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.18741,1.84565,2.55439,1.70646,0.64995,0.54181,0.62018,0.45486,1.08123,1.08779,1.11802,1.785e-05,1.785e-05,1.785e-05
2,10.1458,1.72187,2.28421,1.60106,0.59876,0.5818,0.62603,0.44666,1.1326,1.09321,1.13536,3.65248e-05,3.65248e-05,3.65248e-05
3,13.3171,1.64398,2.26219,1.60052,0.65261,0.56271,0.63166,0.43171,1.25661,1.12603,1.17513,5.48226e-05,5.48226e-05,5.48226e-05
4,16.5085,1.61225,2.11023,1.53104,0.65618,0.5773,0.63121,0.40643,1.39969,1.18838,1.22149,7.27434e-05,7.27434e-05,7.27434e-05
5,19.6791,1.56325,2.07335,1.5323,0.62483,0.61593,0.64069,0.38575,1.52217,1.26213,1.26399,9.02872e-05,9.02872e-05,9.02872e-05
6,22.7842,1.59899,1.98667,1.49847,0.65398,0.59188,0.64481,0.37967,1.5535,1.27692,1.27708,0.000107454,0.000107454,0.000107454
7,25.8632,1.53953,1.88515,1.49855,0.67834,0.5653,0.64077,0.38207,1.55356,1.27511,1.28249,0.000111931,0.000111931,0.000111931
8,29.0413,1.49656,1.81286,1.48543,0.67187,0.57736,0.6446,0.38744,1.51809,1.2418,1.27171,0.000110753,0.000110753,0.000110753
9,32.2289,1.51302,1.82846,1.48979,0.70428,0.57472,0.64542,0.39565,1.48409,1.20042,1.25854,0.000109575,0.000109575,0.000109575
10,35.7553,1.49593,1.77555,1.47925,0.75956,0.55739,0.6622,0.40279,1.4794,1.16643,1.25309,0.000108397,0.000108397,0.000108397
11,38.9767,1.4248,1.68891,1.43358,0.74964,0.56655,0.66946,0.40559,1.50278,1.1544,1.26064,0.000107219,0.000107219,0.000107219
12,42.1081,1.49197,1.7202,1.41776,0.72678,0.57939,0.68149,0.40748,1.52428,1.14147,1.2667,0.000106041,0.000106041,0.000106041
13,45.2614,1.45964,1.63686,1.38836,0.73125,0.59276,0.6858,0.41427,1.52306,1.13058,1.26341,0.000104863,0.000104863,0.000104863
