epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.71078,1.84565,2.55439,1.70646,0.64995,0.54181,0.62018,0.45486,1.08123,1.08779,1.11802,1.785e-05,1.785e-05,1.785e-05
2,10.0823,1.722,2.28536,1.60068,0.59975,0.58229,0.62547,0.44654,1.13219,1.09229,1.1356,3.61596e-05,3.61596e-05,3.61596e-05
3,13.4062,1.6449,2.26493,1.60115,0.64998,0.56349,0.63281,0.43356,1.25263,1.12496,1.17381,5.37152e-05,5.37152e-05,5.37152e-05
4,16.8065,1.61219,2.11213,1.53085,0.65342,0.57974,0.63099,0.40824,1.38963,1.18061,1.21735,7.05168e-05,7.05168e-05,7.05168e-05
5,22.3146,1.56094,2.07062,1.532,0.62398,0.61966,0.64101,0.38803,1.51446,1.25382,1.26091,8.65644e-05,8.65644e-05,8.65644e-05
6,25.4857,1.59973,1.98872,1.49983,0.6602,0.5911,0.64485,0.3825,1.54883,1.26917,1.27539,0.000101858,0.000101858,0.000101858
7,28.8413,1.54426,1.89281,1.50127,0.66538,0.58158,0.64168,0.38166,1.55501,1.26668,1.28176,0.000104863,0.000104863,0.000104863
8,32.1208,1.49897,1.8182,1.48674,0.70479,0.5586,0.64488,0.39047,1.52484,1.23483,1.27203,0.000102507,0.000102507,0.000102507
9,35.5958,1.51691,1.83342,1.4928,0.68599,0.57842,0.64925,0.39468,1.49663,1.19946,1.26145,0.00010015,0.00010015,0.00010015
10,38.9086,1.49608,1.78537,1.47981,0.77138,0.55307,0.66342,0.4061,1.4885,1.16889,1.25823,9.77942e-05,9.77942e-05,9.77942e-05
11,42.2455,1.42113,1.69942,1.43273,0.74669,0.58491,0.67423,0.40877,1.50349,1.14958,1.26145,9.5438e-05,9.5438e-05,9.5438e-05
12,45.5186,1.49102,1.73182,1.41874,0.70856,0.61149,0.67996,0.40969,1.5202,1.13477,1.26289,9.30818e-05,9.30818e-05,9.30818e-05
13,48.8299,1.4693,1.65685,1.39449,0.73516,0.59151,0.68222,0.4115,1.52422,1.12498,1.26533,9.07256e-05,9.07256e-05,9.07256e-05
14,52.1714,1.46119,1.67292,1.4225,0.76442,0.59274,0.69096,0.42114,1.5041,1.10938,1.25981,8.83694e-05,8.83694e-05,8.83694e-05
15,55.5311,1.44768,1.65387,1.41535,0.75261,0.61738,0.70264,0.43085,1.4706,1.08706,1.24946,8.60132e-05,8.60132e-05,8.60132e-05
16,58.7696,1.46451,1.60735,1.41539,0.74638,0.62855,0.71234,0.43916,1.43947,1.06408,1.2397,8.3657e-05,8.3657e-05,8.3657e-05
17,61.9864,1.43586,1.54287,1.38166,0.76157,0.62009,0.71946,0.44232,1.42971,1.0566,1.2386,8.13008e-05,8.13008e-05,8.13008e-05
18,65.2322,1.44526,1.62402,1.39114,0.77953,0.617,0.7264,0.44475,1.427,1.04809,1.23961,7.89446e-05,7.89446e-05,7.89446e-05
19,68.3227,1.40177,1.48481,1.36526,0.76002,0.63967,0.7299,0.44706,1.42214,1.04476,1.23925,7.65884e-05,7.65884e-05,7.65884e-05
20,71.3986,1.42841,1.59824,1.38788,0.76478,0.64549,0.74217,0.45252,1.42617,1.04102,1.242,7.42322e-05,7.42322e-05,7.42322e-05
21,74.4417,1.42267,1.50826,1.41489,0.75296,0.65568,0.74479,0.46134,1.41994,1.03066,1.23941,7.1876e-05,7.1876e-05,7.1876e-05
22,77.6527,1.40525,1.4963,1.39108,0.75567,0.64829,0.73967,0.46197,1.40793,1.02095,1.22969,6.95198e-05,6.95198e-05,6.95198e-05
