epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,81.0702,1.44196,1.57293,1.43258,0.81928,0.61236,0.754,0.46434,1.4162,1.00646,1.22832,6.71636e-05,6.71636e-05,6.71636e-05
24,84.3501,1.37442,1.5273,1.35164,0.78729,0.63292,0.7578,0.46029,1.42987,1.00358,1.23305,6.48074e-05,6.48074e-05,6.48074e-05
25,87.6169,1.4246,1.50169,1.40191,0.82369,0.61149,0.75876,0.45868,1.43529,0.99541,1.23251,6.24512e-05,6.24512e-05,6.24512e-05
26,91.0449,1.37152,1.44642,1.36242,0.82752,0.62111,0.75902,0.46078,1.42884,0.99533,1.22812,6.0095e-05,6.0095e-05,6.0095e-05
27,94.941,1.40755,1.46363,1.36891,0.81387,0.62568,0.75968,0.46859,1.41384,0.98906,1.22273,5.77388e-05,5.77388e-05,5.77388e-05
28,98.6362,1.43443,1.43821,1.35328,0.80708,0.63856,0.76029,0.47055,1.40318,0.98168,1.22044,5.53826e-05,5.53826e-05,5.53826e-05
29,102.258,1.41038,1.51416,1.42818,0.80842,0.62888,0.76403,0.47806,1.37562,0.97549,1.20888,5.30264e-05,5.30264e-05,5.30264e-05
30,106.52,1.39426,1.46039,1.39139,0.81753,0.62668,0.75866,0.47844,1.38233,0.97892,1.21369,5.06702e-05,5.06702e-05,5.06702e-05
31,110.042,1.38678,1.38468,1.35809,0.83356,0.62456,0.76761,0.47702,1.40116,0.98302,1.22394,4.8314e-05,4.8314e-05,4.8314e-05
32,113.478,1.34005,1.38342,1.35819,0.82034,0.63831,0.76727,0.47145,1.42111,0.98285,1.23204,4.59578e-05,4.59578e-05,4.59578e-05
33,117.232,1.40326,1.44014,1.35586,0.81845,0.63918,0.76426,0.46588,1.4299,0.97832,1.2343,4.36016e-05,4.36016e-05,4.36016e-05
34,120.573,1.38034,1.43487,1.35291,0.84563,0.63079,0.76762,0.46883,1.42915,0.97095,1.2326,4.12454e-05,4.12454e-05,4.12454e-05
35,124.265,1.37193,1.38093,1.35305,0.84381,0.63115,0.76782,0.47124,1.41934,0.95854,1.22584,3.88892e-05,3.88892e-05,3.88892e-05
36,128.093,1.39391,1.40981,1.34663,0.84603,0.63971,0.77181,0.48339,1.40434,0.95275,1.21685,3.6533e-05,3.6533e-05,3.6533e-05
37,134.225,1.36263,1.29949,1.33077,0.84846,0.64252,0.77257,0.48467,1.38744,0.94791,1.21055,3.41768e-05,3.41768e-05,3.41768e-05
38,137.824,1.30258,1.34746,1.30167,0.84351,0.64328,0.77358,0.48487,1.38718,0.9483,1.21092,3.18206e-05,3.18206e-05,3.18206e-05
39,141.652,1.38418,1.38507,1.36468,0.85887,0.63783,0.77994,0.48834,1.38973,0.94661,1.21195,2.94644e-05,2.94644e-05,2.94644e-05
40,145.493,1.38236,1.43076,1.34995,0.85659,0.63697,0.7771,0.48612,1.40177,0.94139,1.2157,2.71082e-05,2.71082e-05,2.71082e-05
41,176.085,1.39402,1.55703,1.37255,0.86508,0.63581,0.78568,0.49095,1.39643,0.95451,1.21255,2.4752e-05,2.4752e-05,2.4752e-05
42,179.127,1.43725,1.56842,1.36403,0.83216,0.65453,0.78409,0.49149,1.39854,0.97568,1.21547,2.23958e-05,2.23958e-05,2.23958e-05
43,182.278,1.42119,1.58876,1.385,0.82223,0.64612,0.77918,0.48653,1.41419,0.99164,1.22407,2.00396e-05,2.00396e-05,2.00396e-05
44,185.248,1.37842,1.4338,1.35308,0.81943,0.65487,0.77757,0.48225,1.41373,0.9913,1.22515,1.76834e-05,1.76834e-05,1.76834e-05
45,188.21,1.43774,1.60046,1.39221,0.81197,0.65255,0.77695,0.48135,1.41884,1.00001,1.22905,1.53272e-05,1.53272e-05,1.53272e-05
46,191.29,1.37118,1.40235,1.36252,0.82696,0.64302,0.77579,0.47987,1.42416,0.99545,1.23327,1.2971e-05,1.2971e-05,1.2971e-05
47,194.469,1.37136,1.35939,1.32675,0.81254,0.64895,0.77542,0.47998,1.43099,0.99608,1.23694,1.06148e-05,1.06148e-05,1.06148e-05
48,197.574,1.39585,1.401,1.37333,0.82603,0.64794,0.77684,0.481,1.43011,0.99441,1.23739,8.2586e-06,8.2586e-06,8.2586e-06
49,200.677,1.38772,1.406,1.35504,0.84206,0.62606,0.77292,0.47932,1.42905,0.99754,1.2394,5.9024e-06,5.9024e-06,5.9024e-06
50,203.76,1.41042,1.45184,1.34203,0.85297,0.62927,0.77213,0.47974,1.42914,0.9939,1.24116,3.5462e-06,3.5462e-06,3.5462e-06
